Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
01/01/23 04:00,0.23905999999999999,0.35006500000000002,0.37986500000000001,0.41675299999999998,0.35165200000000002,0.28299999999999997,0.38,,0.152,0.25800000000000001,0.19400000000000001,0.20499999999999999,0.17299999999999999,0.436,0.30599999999999999,0.443,0.40899999999999997,0.21082999999999999,0.29957,0.15328,0.39789000000000002,1.2111700000000001,0.33455000000000001,0.43725000000000003,0.17355000000000001,0.25624000000000002,0.238598,0.200569,0.26049800000000001,0.33600000000000002,0.36327999999999999,,0.23799999999999999,0.32600000000000001,0.25707000000000002,0.31657999999999997,,0.28802499999999998,0.59,0.20413999999999999,0.29610999999999998,0.24435000000000001,0.33095999999999998,0.29549999999999998,0.30497000000000002,0.22536999999999999,0.28364,0.36752800000000002,0.214314,0.34216000000000002,0.22572999999999999,0.31991999999999998,,0.29994999999999999,0.68523000000000001,0.17058999999999999
01/01/23 05:00,0.24387700000000001,0.38780399999999998,0.36960799999999999,0.48055599999999998,0.34813699999999997,0.32200000000000001,0.41499999999999998,,0.16200000000000001,0.26300000000000001,0.191,0.216,0.17899999999999999,0.44900000000000001,0.33500000000000002,0.45200000000000001,0.42799999999999999,0.32251999999999997,0.32877000000000001,0.17834,0.39283000000000001,1.3367100000000001,0.60089000000000004,0.44102999999999998,0.26655000000000001,0.26828999999999997,0.27416299999999999,0.21152499999999999,0.30371500000000001,0.34200000000000003,0.35887000000000002,,0.317,0.30199999999999999,0.26473000000000002,0.32140999999999997,,0.28621400000000002,0.74199999999999999,0.38307999999999998,0.36246,0.27714,0.35243999999999998,0.29531000000000002,0.35324,0.25858999999999999,0.28391,0.37004500000000001,0.21382399999999999,0.34475299999999998,0.27878999999999998,0.34133000000000002,,0.31367,0.54379999999999995,0.17082
01/01/23 06:00,0.256073,0.42036099999999998,0.34978500000000001,0.48593700000000001,0.35383700000000001,0.33500000000000002,0.40400000000000003,,0.186,0.28100000000000003,0.20699999999999999,0.221,0.17599999999999999,0.45700000000000002,0.33600000000000002,0.46600000000000003,0.503,0.34114,0.43809999999999999,0.17616999999999999,0.40138000000000001,1.72326,0.31385000000000002,0.45173000000000002,0.33389000000000002,0.26917999999999997,0.28172799999999998,0.212482,0.30693300000000001,0.34899999999999998,0.35708000000000001,,0.373,0.30299999999999999,0.27227000000000001,0.32657000000000003,,0.34744199999999997,0.96599999999999997,0.37940000000000002,0.37084,0.28159000000000001,0.37702999999999998,0.33350999999999997,0.35338999999999998,0.36688999999999999,0.36442000000000002,0.36594900000000002,0.22364600000000001,0.36101699999999998,0.27807999999999999,0.34745999999999999,,0.35568,0.34326000000000001,0.15722
01/01/23 07:00,0.30622100000000002,0.38426900000000003,0.36827599999999999,0.46675499999999998,0.35150700000000001,0.313,0.55100000000000005,,0.21199999999999999,0.28699999999999998,0.20300000000000001,0.223,0.187,0.46400000000000002,0.35,0.48399999999999999,0.57099999999999995,0.50824000000000003,0.44903999999999999,0.153,0.4708,1.70346,0.30832999999999999,0.46311999999999998,0.41615999999999997,0.28338999999999998,0.29229300000000003,0.229438,0.30014999999999997,0.40100000000000002,0.37341999999999997,,0.35499999999999998,0.245,0.26422000000000001,0.34925,,0.29554200000000003,1.159,0.31546000000000002,0.34998000000000001,0.29725000000000001,0.39688000000000001,0.34064,0.35457,0.40561000000000003,1.0106200000000001,0.42044399999999998,0.22631599999999999,0.36491899999999999,0.26419999999999999,0.37363000000000002,,0.35925000000000001,0.19842000000000001,0.16914999999999999
01/01/23 08:00,0.33463399999999999,0.393152,0.37690899999999999,0.52614700000000003,0.34679300000000002,0.27400000000000002,0.52400000000000002,,0.28000000000000003,0.27500000000000002,0.20799999999999999,0.23899999999999999,0.182,0.46500000000000002,0.39800000000000002,0.50600000000000001,0.59,0.62644,0.50993999999999995,0.126,0.46418999999999999,1.57744,0.44912000000000002,0.44384000000000001,0.42631000000000002,0.29765999999999998,0.34185900000000002,0.25339499999999998,0.27436700000000003,0.40100000000000002,0.37852999999999998,,0.38500000000000001,0.25800000000000001,0.27927000000000002,0.33757999999999999,,0.30287599999999998,1.0509999999999999,0.30890000000000001,0.32573999999999997,0.35787000000000002,0.40655999999999998,0.33473999999999998,0.35970999999999997,0.46539999999999998,0.53839000000000004,0.50688,0.23280500000000001,0.37706499999999998,0.27482000000000001,0.44297999999999998,,0.38363000000000003,0.18051,0.19292000000000001
01/01/23 09:00,0.30788700000000002,0.45552399999999998,0.43789499999999998,0.97245999999999999,0.36940400000000001,0.26900000000000002,0.61699999999999999,,0.42799999999999999,0.379,0.215,0.26300000000000001,0.183,0.46500000000000002,0.40300000000000002,0.504,0.53700000000000003,0.41177999999999998,0.42804999999999999,0.10979,0.45146999999999998,1.70607,0.49643999999999999,0.44896999999999998,0.40328999999999998,0.31824999999999998,0.35942400000000002,0.26935100000000001,0.27558500000000002,0.39800000000000002,0.36634,,0.40699999999999997,0.26200000000000001,0.29458000000000001,0.31074000000000002,,0.28814099999999998,0.97099999999999997,0.31934000000000001,0.31672,0.42385,0.48404000000000003,0.33040000000000003,0.40681,0.40505999999999998,0.32119999999999999,0.39829100000000001,0.23170499999999999,0.37216100000000002,0.29343000000000002,0.50646000000000002,,0.45099,0.17147999999999999,0.17487
01/01/23 10:00,0.28415200000000002,0.43898199999999998,0.51619300000000001,0.65589299999999995,0.40935300000000002,0.27100000000000002,0.64700000000000002,,0.45700000000000002,0.435,0.23200000000000001,0.245,0.19,0.47699999999999998,0.372,0.499,0.48299999999999998,0.67142999999999997,0.46554000000000001,,0.44874000000000003,1.68275,0.53166999999999998,0.42365999999999998,0.33578999999999998,0.32035000000000002,0.34198899999999999,0.26830799999999999,0.36180200000000001,0.42299999999999999,0.35871999999999998,,0.38500000000000001,0.253,0.27801999999999999,0.29820000000000002,,0.28013399999999999,0.78700000000000003,0.30420000000000003,0.30978,0.45545000000000002,0.37420999999999999,0.37734000000000001,0.42476999999999998,0.40189999999999998,0.36741000000000001,0.42676900000000001,0.243982,0.368531,0.31008000000000002,0.51732999999999996,,0.45379000000000003,0.15684000000000001,0.17219000000000001
01/01/23 11:00,0.29705300000000001,0.41781499999999999,0.41120000000000001,0.46814099999999997,0.427033,0.28399999999999997,0.6,,0.28599999999999998,0.44800000000000001,0.25600000000000001,0.245,0.184,0.48599999999999999,0.55000000000000004,0.48,0.435,0.65300000000000002,0.45279000000000003,7.3830000000000007E-2,0.40589999999999998,1.5561400000000001,0.46505999999999997,0.42984,0.40533000000000002,0.32446000000000003,0.42555399999999999,0.267264,0.35802,0.39700000000000002,0.32114999999999999,,0.28999999999999998,0.248,0.25747999999999999,0.27477000000000001,,0.27596700000000002,0.83499999999999996,0.30238999999999999,0.26838000000000001,0.41109000000000001,0.35038999999999998,0.31673000000000001,0.41188000000000002,0.49883,0.40255000000000002,0.51097800000000004,0.23893500000000001,0.37398300000000001,0.29536000000000001,0.49713000000000002,,0.43587999999999999,0.15839,0.19983000000000001
01/02/23 12:00,0.323382,0.41701899999999997,0.38518000000000002,0.39966499999999999,0.39757199999999998,0.27800000000000002,0.54600000000000004,,0.27700000000000002,0.47399999999999998,0.24,0.23599999999999999,0.193,0.52100000000000002,0.53600000000000003,0.44400000000000001,0.437,0.62683999999999995,0.24759999999999999,6.9690000000000002E-2,0.39004,1.4664200000000001,0.47543999999999997,0.40501999999999999,0.34061999999999998,0.33672999999999997,0.32812000000000002,0.24222099999999999,0.35423700000000002,0.45400000000000001,0.28809000000000001,,0.191,0.26200000000000001,0.26106000000000001,0.26554,,0.27123399999999998,0.84699999999999998,0.30307000000000001,0.23862,0.38406000000000001,0.25344,0.37798999999999999,0.34492,0.47321999999999997,0.48537000000000002,0.45942,0.24041000000000001,0.35922700000000002,0.29213,0.43873000000000001,,0.40966999999999998,0.19184000000000001,0.20283999999999999
01/02/23 01:00,0.31345099999999998,0.40750700000000001,0.37402600000000003,0.35395100000000002,0.41730499999999998,0.27900000000000003,0.317,,0.30099999999999999,0.39100000000000001,0.23899999999999999,0.22600000000000001,0.17899999999999999,0.57699999999999996,0.53,0.42399999999999999,0.4,0.40053,0.31274999999999997,0.1074,0.37692999999999999,1.4422999999999999,0.50922000000000001,0.38030000000000003,0.26634000000000002,0.35721000000000003,0.29764099999999999,0.28417799999999999,0.30945400000000001,0.42299999999999999,0.28539999999999999,,0.32600000000000001,0.26400000000000001,0.37317,0.25745000000000001,,0.28293099999999999,0.86699999999999999,0.28117999999999999,0.22342000000000001,0.42616999999999999,0.24962999999999999,0.39523000000000003,0.34825,0.41383999999999999,0.45025999999999999,0.45284999999999997,0.24457999999999999,0.35985800000000001,0.27184999999999998,0.38311000000000001,0.19183,0.39026,0.22425,0.16259000000000001
