Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
02/25/23 02:00,0.74416000000000004,1.0794600000000001,0.13435,0.24210000000000001,0.95479999999999998,1.8,0.2,0.9,1.2,1,,0.34499999999999997,0.69,0.8,0.48,0.87,0.42057,3.36816,0.26469999999999999,1.0881000000000001,0.19991999999999999,0.46283999999999997,0.14341999999999999,0.41799999999999998,0.13985,0.60829,,0.62573999999999996,,0.6,0.59,0.7,0.5,0.9,0.48662,0.62460000000000004,,0.25901999999999997,0.94,0.50382000000000005,,0.67537000000000003,1.22679,0.71201999999999999,0.93662999999999996,1.6,0.39,0.2,0.48599999999999999,0.37254999999999999,0.47789999999999999,0.37742999999999999,,0.49484,0.76673000000000002,0.23202,0.28871000000000002,0.69174000000000002,1.75319,1.2693300000000001,1.2011000000000001,0.12978000000000001,0.79773000000000005,0.1885,1.4760500000000001,0.75653999999999999
02/25/23 03:00,0.79208999999999996,1.1963900000000001,0.13320000000000001,0.2349,0.85094000000000003,1.6,,1.1000000000000001,1.3,1.3,,0.34499999999999997,0.68,0.9,0.46,1.1599999999999999,0.50939999999999996,3.0986400000000001,0.24242,1.0827,0.20691999999999999,0.49184,0.15458,0.27300000000000002,0.14654,0.60675999999999997,,0.57650000000000001,,0.6,0.63,0.7,0.7,0.5,0.55940999999999996,0.61560000000000004,0.21840000000000001,0.29409999999999997,1.23,0.42443999999999998,0.58860000000000001,0.63454999999999995,1.0691999999999999,0.82830000000000004,0.90720000000000001,1.4,0.35,0.2,0.51651000000000002,0.30131000000000002,0.47483999999999998,0.29061999999999999,0.19997999999999999,0.72945000000000004,0.82518000000000002,0.21828,0.35452,0.74195999999999995,1.6935100000000001,0.98311000000000004,1.2031799999999999,0.10249999999999999,0.80128999999999995,0.20749999999999999,1.3445800000000001,1.0052099999999999
02/25/23 04:00,0.93437999999999999,1.2600899999999999,0.151,0.27360000000000001,0.88846999999999998,1.7,,1.4,1.5,1.3,,0.34499999999999997,0.91,1.1200000000000001,0.45,1.44,0.41292000000000001,3.1698,0.27806999999999998,1.03905,0.23100999999999999,0.46772999999999998,0.16214000000000001,0.35799999999999998,0.1331,0.71143000000000001,,0.73223000000000005,,0.7,0.7,0.8,0.7,0.6,0.53386,0.73260000000000003,0.25080000000000002,0.30969999999999998,0.96,0.52163999999999999,0.5544,0.52488999999999997,1.0360799999999999,0.84053999999999995,0.85202,1.1000000000000001,0.4,0.3,0.66230999999999995,0.49358999999999997,0.51183000000000001,0.52295999999999998,0.21185999999999999,1.4413400000000001,0.86287999999999998,0.20810000000000001,0.31119999999999998,0.67013999999999996,1.5754900000000001,1.0678099999999999,1.1639900000000001,0.06,0.84386000000000005,0.24772,1.2308300000000001,0.95984999999999998
02/25/23 05:00,0.84053999999999995,1.2129700000000001,0.14532999999999999,0.25919999999999999,0.68511999999999995,1.6,,1.4,1.6,1.2,,0.34499999999999997,0.91,1.27,0.45,1.72,0.46836,1.9107000000000001,0.37447000000000003,1.1191500000000001,0.59038999999999997,0.48050999999999999,0.17785999999999999,0.35899999999999999,0.23801,,,0.69896999999999998,,0.6,0.95,0.9,0.7,0.6,0.60196000000000005,0.74834999999999996,0.24773999999999999,0.35754999999999998,0.88,0.67391999999999996,0.58050000000000002,0.54125999999999996,0.88002000000000002,0.65947999999999996,0.81215999999999999,1.1000000000000001,0.42,0.4,0.82484999999999997,0.52490999999999999,0.62414999999999998,0.33096999999999999,0.30221999999999999,1.20224,0.95477000000000001,0.23319999999999999,0.33041999999999999,3.1147200000000002,1.6572899999999999,1.7117599999999999,1.48264,0.06,0.86263000000000001,0.29593999999999998,1.1722699999999999,0.84401999999999999
02/25/23 06:00,0.70706999999999998,1.3900999999999999,0.14069000000000001,0.252,0.67910000000000004,1.5,,1.3,1.7,1.4,,0.34499999999999997,1.04,1.49,0.62,1.61,0.48743999999999998,0,0.35855999999999999,1.1537999999999999,0.4536,0.50034999999999996,0.18412000000000001,0.41599999999999998,0.35792000000000002,0.66202000000000005,,0.92896999999999996,,0.7,1,1,0.9,0.7,0.59984999999999999,0.81720000000000004,0.2994,0.38468999999999998,1.01,0.71928000000000003,0.6048,0.64163999999999999,0.62666999999999995,0.50177000000000005,0.83213999999999999,1.4,0.65,0.9,1.2617100000000001,0.46266000000000002,0.78768000000000005,0.41760999999999998,0.45432,0.98112999999999995,1.1842699999999999,0.26100000000000001,0.31585999999999997,3.7080000000000002,1.8404700000000001,2.8729100000000001,1.3600300000000001,8.0439999999999998E-2,0.97685,0.26794000000000001,1.24065,0.80757000000000001
02/25/23 07:00,0.85643999999999998,1.4641900000000001,0.15095,0.34470000000000001,0.98421999999999998,1.3,,1.2,1.6,1.6,,0.46,1.07,1.43,0.65,1.62,0.49337999999999999,1.9409400000000001,0.45190999999999998,1.1547000000000001,0.36015000000000003,0.55191000000000001,0.21317,0.438,0.35338000000000003,0.66571000000000002,,0.83874000000000004,,0.9,1.1299999999999999,2,1,0.7,0.59919999999999995,0.84150000000000003,0.27356999999999998,0.42652000000000001,1.5,0.95579999999999998,0.57150000000000001,0.83455999999999997,0.72263999999999995,0.62846000000000002,0.86156999999999995,1.6,0.65,0.6,1.3004100000000001,0.53815000000000002,0.76293,0.45956999999999998,0.50526000000000004,0.97080999999999995,1.3103800000000001,0.30252000000000001,0.34165000000000001,1.57464,1.96984,2.8684699999999999,2.1203599999999998,0.20141999999999999,1.1144400000000001,0.25924999999999998,1.2324900000000001,0.76626000000000005
02/25/23 08:00,1.0306,1.4733400000000001,0.15925,0.52200000000000002,0.92279999999999995,1.3,,1,1.5,1.5,,0.46,1.26,1.1599999999999999,0.87,1.94,0.47123999999999999,0.51336000000000004,0.48537999999999998,1.242,0.27717000000000003,0.60406000000000004,0.22483,0.45400000000000001,0.67220999999999997,0.67237000000000002,,0.94569000000000003,,0.9,1.46,3.2,1.1000000000000001,0.9,0.53835,0.75465000000000004,0.2994,0.44861000000000001,2.29,0.77922000000000002,0.66959999999999997,0.8881,0.54495000000000005,2.1015299999999999,0.84753000000000001,1.6,0.68,0.7,0.98568,0.61026999999999998,0.75636000000000003,0.53639000000000003,0.37008000000000002,1.4229799999999999,1.8141400000000001,0.42964000000000002,0.36942000000000003,1.1998800000000001,1.8707199999999999,3.1507800000000001,2.68866,0.22500000000000001,1.1265400000000001,0.24346999999999999,1.16096,0.64071
02/25/23 09:00,0.8417,1.65445,0.15315000000000001,0.41220000000000001,0.65930999999999995,1.3,,0.8,1.3,1.4,,0.46,1.1399999999999999,1.1399999999999999,1.17,2.93,0.41382000000000002,4.8599999999999997E-2,0.39441999999999999,1.1911499999999999,0.26658999999999999,0.61075999999999997,0.23924999999999999,0.48399999999999999,0.62780000000000002,0.63331000000000004,,0.73575999999999997,,1.8,1.79,3.4,1,0.8,0.59284999999999999,0.77715000000000001,0.30597000000000002,0.43683,2.79,0.86831999999999998,0.67589999999999995,0.74589000000000005,0.48005999999999999,0.59133999999999998,0.81215999999999999,1.5,0.74,0.7,0.89666999999999997,0.56274999999999997,0.83016000000000001,0.55601,0.43317,1.3292999999999999,1.1326000000000001,0.73538999999999999,0.47272999999999998,0.89154,1.7342900000000001,1.43201,2.84829,5.8139999999999997E-2,1.04308,0.21393999999999999,1.02336,0.65124000000000004
02/25/23 10:00,0.76383999999999996,1.74586,0.16214999999999999,0.31590000000000001,0.63702000000000003,1.5,,0.9,1.1000000000000001,1.1000000000000001,1.4,0.46,1.04,1.01,1.06,2.33,0.41238000000000002,0.63180000000000003,0.34204000000000001,1.08585,0.21632999999999999,0.63446999999999998,0.22567000000000001,0.47599999999999998,0.31034,0.68191000000000002,,0.93645999999999996,,1.5,3.95,3.9,1.2,0.7,0.76712000000000002,0.82530000000000003,0.36266999999999999,0.47478999999999999,2.17,0.82296000000000002,0.72899999999999998,0.87012999999999996,0.53315999999999997,0.46697,0.77759999999999996,1.5,0.87,0.7,0.90530999999999995,0.48532999999999998,0.99170999999999998,0.62207000000000001,0.56969999999999998,1.2533000000000001,1.12802,0.60792000000000002,0.67749999999999999,0.75114000000000003,1.6776599999999999,1.2011499999999999,2.6267800000000001,0.16750000000000001,1.01119,0.20330999999999999,0.83462999999999998,0.74114999999999998
02/25/23 11:00,0.72204999999999997,1.37497,0.17179,0.35189999999999999,0.64229999999999998,1,,1,1,1,,0.46,0.87,0.97,1.18,1.74,0.42192000000000002,2.5383599999999999,0.23326,1.13175,0.21797,0.63782000000000005,0.24451999999999999,0.504,0.32357000000000002,0.66498999999999997,,0.88873999999999997,,0.9,3.6,3.1,1.3,0.7,0.65031000000000005,0.84284999999999999,0.36420000000000002,0.51305999999999996,1.95,0.77436000000000005,0.71909999999999996,0.74858000000000002,0.44918999999999998,0.26127,0.78444000000000003,1.6,0.86,0.7,0.82188000000000005,0.50205,1.03176,0.57723999999999998,0.57374999999999998,0.94811000000000001,1.23753,0.4829,0.90110999999999997,0.96282000000000001,1.5765100000000001,1.4511799999999999,2.1187399999999998,0.06,0.97379000000000004,0.19461000000000001,0.79791999999999996,0.58230000000000004
