Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
07/12/23 05:00,0.23973,0.54234000000000004,,0.32940999999999998,0.19309000000000001,0.5,1.3,0.5,0.3,0.7,0.5,0.38,0.43,0.53,0.31,0.61,7.3999999999999996E-2,0.17199,0.35626999999999998,0.58787999999999996,6.1249999999999999E-2,0.46754000000000001,0.43142000000000003,0.67100000000000004,0.17183999999999999,0.56967999999999996,0.49410999999999999,0.26677000000000001,0.6,0.5,0.52,0.6,0.3,0.6,23.054099999999998,,0.39555000000000001,10.862500000000001,0.1,0.14679,5.4000000000000003E-3,,0.79730999999999996,0.28432000000000002,0.38069999999999998,0.6,0.8,1.7,0.34398000000000001,0.74283999999999994,0.40067999999999998,0.84309000000000001,1.0448999999999999,0.44702999999999998,0.50094000000000005,0.98267000000000004,3.0429999999999999E-2,,0.26333000000000001,0.22647999999999999,0.46725,5.7500000000000002E-2,0.52832999999999997,0.48199999999999998,0.35743999999999998,0.29160000000000003
07/12/23 06:00,0.17774000000000001,0.56762999999999997,0.18711,0.49762000000000001,0.19012999999999999,0.8,0.9,0.5,0.2,0.8,0.5,0.44,0.31,0.56000000000000005,0.41,0.61,0.17,0.18837000000000001,1.0686500000000001,0.62666999999999995,8.43E-2,0.74611000000000005,0.56405000000000005,0.19,0.22291,0.60711999999999999,0.45799000000000001,0.28722999999999999,1.2,0.5,0.6,0.5,0.3,0.6,11.057600000000001,,0.49814999999999998,11.1823,0.2,0.18729000000000001,0.23760000000000001,,0.72053999999999996,0.23801,0.38357999999999998,0.7,0.2,0.5,0.38879999999999998,0.54012000000000004,0.49464000000000002,0.68579999999999997,1.0125,0.64553000000000005,0.74051999999999996,0.97333999999999998,4.929E-2,,0.32379999999999998,0.22194,0.52290000000000003,6.4219999999999999E-2,0.52524999999999999,0.46494000000000002,0.35727999999999999,0.29259000000000002
07/12/23 07:00,0.19775999999999999,0.89900999999999998,0.18629999999999999,0.43136999999999998,0.22644,0.6,0.9,0.5,0.3,0.9,0.4,0.41,0.44,0.52,0.34,0.52,0.217,0.24093000000000001,8.4820000000000007E-2,0.65051999999999999,0.11075,1.28132,0.39139000000000002,0.97199999999999998,0.20480000000000001,,0.59223999999999999,0.29977999999999999,3.8,0.3,0.54,0.5,0.4,0.8,3.8684500000000002,,1.0588500000000001,10.4419,0.3,0.12645000000000001,0.16200000000000001,,0.71738999999999997,0.20755999999999999,0.37520999999999999,0.7,0.3,0.4,0.44928000000000001,0.54666000000000003,0.38700000000000001,0.41566999999999998,0.91259999999999997,0.68117000000000005,0.73241999999999996,1.05155,5.1020000000000003E-2,,0.35586000000000001,0.21268000000000001,0.38934999999999997,7.603E-2,0.49413000000000001,0.47783999999999999,0.31546000000000002,0.40616999999999998
07/12/23 08:00,0.21954000000000001,1.20672,0.47060999999999997,0.32485999999999998,0.20124,0.6,0.7,0.6,0.2,0.7,0.4,0.39,1.4,0.49,0.31,0.54,0.30199999999999999,0.23885999999999999,0.13142999999999999,0.51461999999999997,0.12992000000000001,1.4993399999999999,0.38549,0.92800000000000005,0.23333000000000001,0.62385999999999997,0.66464999999999996,0.26451999999999998,1.7,0.3,0.55000000000000004,0.4,0.3,0.6,1.7598400000000001,,0.92474999999999996,11.764099999999999,0.3,0.16200000000000001,,,0.81191999999999998,0.21340000000000001,0.36720000000000003,0.6,0.4,0.2,0.56484000000000001,0.50319999999999998,0.62982000000000005,0.67803000000000002,0.87209999999999999,0.67564999999999997,2.0605799999999999,3.58677,7.5969999999999996E-2,,0.34697,0.20094000000000001,0.32401000000000002,8.7330000000000005E-2,0.48087999999999997,0.51559999999999995,0.32551999999999998,0.48402000000000001
07/12/23 09:00,0.4325,1.0296000000000001,1.15344,0.30693999999999999,0.20502999999999999,0.5,0.9,0.5,0.2,0.6,0.3,0.31,0.28999999999999998,0.4,0.25,0.39,0.32900000000000001,0.21473999999999999,0.35629,0.79379999999999995,0.12025,1.0954999999999999,0.61877000000000004,0.73399999999999999,0.15082000000000001,0.68703999999999998,0.73063,0.24979000000000001,1.3,0.2,,0.4,0.3,0.8,1.63443,,1.0885499999999999,12.004099999999999,0.2,0.1134,8.9099999999999999E-2,,0.78003,0.25276999999999999,0.32427,0.7,0.4,0.2,0.43956000000000001,0.55105000000000004,0.77507999999999999,0.52605999999999997,2.2113,0.40909000000000001,1.9036900000000001,1.8188800000000001,8.8959999999999997E-2,,0.28547,0.24912000000000001,0.23254,0.08,0.50217000000000001,0.59182000000000001,0.40625,0.50363999999999998
07/12/23 10:00,0.33522999999999997,1.0430999999999999,0.92015999999999998,0.34244000000000002,0.1792,0.3,0.7,0.3,0.1,0.5,0.2,0.3,0.57999999999999996,0.38,0.22,0.36,0.32900000000000001,0.19439999999999999,9.74E-2,0.41697000000000001,0.12231,1.0822099999999999,0.59197999999999995,1,0.18690999999999999,0.68362000000000001,0.75922000000000001,0.23458999999999999,0.9,0.2,0.37,0.3,0.1,0.6,3.1210300000000002,1.5275700000000001,1.2608999999999999,2.0470299999999999,0.1,0.46539000000000003,0.16739999999999999,,0.67581000000000002,0.18367,0.30231000000000002,0.6,0.6,0.1,0.28242,0.62985999999999998,0.43631999999999999,0.28675,1.2284999999999999,0.13658999999999999,1.44123,1.4702299999999999,0.2646,,0.28689999999999999,0.20732,0.22364000000000001,7.4139999999999998E-2,0.48863000000000001,0.68837000000000004,0.40559000000000001,0.51524999999999999
07/12/23 11:00,0.21768000000000001,0.99333000000000005,0.15065999999999999,0.21546999999999999,0.15919,0.3,0.9,0.3,0.1,0.6,0.2,0.3,1.23,0.36,0.21,0.34,0.28599999999999998,0.15201000000000001,4.4409999999999998E-2,0.25623000000000001,0.15079000000000001,1.0074000000000001,0,0.76800000000000002,0.19883000000000001,0.50829999999999997,0.62219999999999998,0.23302,0.4,0.2,0.18,0.3,,0.4,1.9655400000000001,1.00332,0.93779999999999997,0.96406999999999998,0.1,0.15021000000000001,,0.17876,0.64412999999999998,0.21831999999999999,0.30519000000000002,0.6,0.9,0.2,0.21870000000000001,0.75412999999999997,0.49392000000000003,0.23744000000000001,1.1798999999999999,0.11196,0.70989000000000002,0.88434999999999997,0.11556,,0.27779999999999999,0.20895,0.23041,6.7500000000000004E-2,0.49941999999999998,0.74097000000000002,0.51559999999999995,0.50022
07/12/23 12:00,0.13589000000000001,0.74592000000000003,9.7199999999999995E-2,0.13524,0.15725,0.4,0.6,0.3,0.1,0.7,0.1,0.28999999999999998,0.1,0.32,0.18,0.4,0.64700000000000002,0.15390000000000001,3.075E-2,0.18972,0.10236000000000001,0.56521999999999994,7.1569999999999995E-2,1.085,9.6540000000000001E-2,0.28564000000000001,0.50795000000000001,0.22958999999999999,1.4,0.2,0.15,0.3,,0.4,0.92096999999999996,0.29816999999999999,0.71460000000000001,0.32412000000000002,0.1,0.39312000000000002,0.25109999999999999,0.15495999999999999,0.65151000000000003,0.22614000000000001,0.39896999999999999,0.6,1.1000000000000001,0.3,0.31590000000000001,0.24099000000000001,0.37656000000000001,0.43054999999999999,0.58050000000000002,0.14324999999999999,0.74885000000000002,0.34953000000000001,0.18981000000000001,,0.46362999999999999,0.20552000000000001,0.21898999999999999,7.664E-2,0.50488,0.78620999999999996,0.51161999999999996,0.44649
07/12/23 01:00,0.13067000000000001,0.50121000000000004,8.0189999999999997E-2,1.4151199999999999,0.14917,0.4,0.6,0.4,0.2,0.8,0.1,0.28000000000000003,0.38,0.43,0.26,0.51,0.34599999999999997,0.15182999999999999,2.7289999999999998E-2,0.17649000000000001,7.2160000000000002E-2,0.44646000000000002,9.0429999999999996E-2,,0.11907,0.25881999999999999,0.69147000000000003,0.21243999999999999,0.6,0.2,0.15,0.3,0.1,0.4,0.73973,0.14291999999999999,0.53195000000000003,0.2316,0.1,0.24678,0.25829999999999997,0.17113,0.62405999999999995,0.19239000000000001,0.44055,0.5,0.7,0.4,0.32940000000000003,0.20796999999999999,0.41796,0.32622000000000001,0.21870000000000001,0.18917,0.46439999999999998,0.28305000000000002,0.28431000000000001,,0.23710999999999999,0.18870000000000001,0.20780999999999999,6.164E-2,0.4965,0.78273000000000004,0.53698999999999997,0.44235000000000002
07/12/23 02:00,0.15315000000000001,0.55242000000000002,8.2619999999999999E-2,1.1838299999999999,0.35104000000000002,0.4,,0.4,0.2,1.2,0.2,0.28999999999999998,7.0000000000000007E-2,0.46,0.28000000000000003,0.55000000000000004,0.35599999999999998,0.15597,3.3939999999999998E-2,0.24596999999999999,7.1910000000000002E-2,0.50251999999999997,0.44712000000000002,0.60799999999999998,0.12206,0.31912000000000001,0.42823,0.22248999999999999,0.3,0.2,0.26,0.3,0.2,0.8,6.9940000000000002E-2,0.1053,,0.1537,0.1,,0.2601,0.17136999999999999,0.67230000000000001,0.38390000000000002,0.39140999999999998,0.6,0.3,0.3,0.27,0.19,0.50724000000000002,0.16603000000000001,0.24299999999999999,0.16782,0.35532999999999998,0.28033999999999998,0.28705999999999998,,0.34431,0.18668000000000001,0.18905,4.4139999999999999E-2,0.50287999999999999,0.69040999999999997,0.58067000000000002,0.37161
07/12/23 03:00,0.13655,0.56906999999999996,0.12878999999999999,5.0840000000000003E-2,0.17917,0.5,,0.4,0.2,1.2,0.2,0.28999999999999998,0.46,0.47,0.27,0.52,0.36699999999999999,0.12357,3.7969999999999997E-2,0.31419000000000002,8.5949999999999999E-2,0.51024999999999998,4.2479999999999997E-2,0.39100000000000001,0.16533999999999999,0.34486,0.40993000000000002,0.23749999999999999,0.2,0.2,0.56000000000000005,0.5,0.3,0.8,0.49173,0.1449,0.58320000000000005,0.14269000000000001,0.2,0.1782,0.126,0.17917,0.66662999999999994,0.40786,0.40642,0.6,0.3,0.2,0.2349,8.9190000000000005E-2,0.35460000000000003,0.14246,0.16200000000000001,0.13678000000000001,0.25314999999999999,0.14782999999999999,0.22528000000000001,,0.42524000000000001,0.2087,0.22885,3.1640000000000001E-2,0.48929,0.47903000000000001,0.47846,0.33309
07/12/23 04:00,0.14957000000000001,0.64251000000000003,0.14904000000000001,6.3009999999999997E-2,0.17251,0.4,,0.4,0.2,0.8,0.2,0.3,0.62,0.3,0.21,0.47,0.38300000000000001,7.4969999999999995E-2,7.3090000000000002E-2,0.3402,7.7289999999999998E-2,0.43746000000000002,2.9090000000000001E-2,0.69799999999999995,0.17979000000000001,0.31606000000000001,0.37218000000000001,0.26144000000000001,0.2,0.2,0.48,0.4,0.3,1,0.89671999999999996,0.22545000000000001,0.45540000000000003,0.13994999999999999,0.2,4.8599999999999997E-2,0.13769999999999999,0.22772999999999999,0.73999000000000004,0.23155000000000001,0.45046000000000003,0.6,0.2,0.1,0.19872000000000001,6.6850000000000007E-2,0.19818,0.13908999999999999,0.12959999999999999,0.15858,0.21209,0.11604,0.10592,,0.51397999999999999,0.27761999999999998,0.42526999999999998,3.2500000000000001E-2,0.43332999999999999,0.38313999999999998,0.37701000000000001,0.32400000000000001
07/12/23 05:00,0.14191999999999999,0.66798000000000002,0.15795000000000001,5.5329999999999997E-2,0.17673,0.3,,0.4,0.2,0.8,0.2,0.28999999999999998,0.35,0.34,0.2,0.28000000000000003,0.35099999999999998,7.0830000000000004E-2,7.8109999999999999E-2,0.41436000000000001,7.2580000000000006E-2,0.47858000000000001,1.2670000000000001E-2,0.71899999999999997,0.1125,0.35098000000000001,0.37123,0.28421999999999997,0.2,0.3,0.34,0.3,0.4,1.2,1.5430900000000001,0.29915999999999998,0.42795,0.11267000000000001,0.1,9.7199999999999995E-2,4.8599999999999997E-2,0.22824,0.64800000000000002,0.20452000000000001,0.40500000000000003,0.7,0.3,0.1,0.18414,8.2710000000000006E-2,0.19314000000000001,0.12316000000000001,0.12959999999999999,0.15592,0.25596000000000002,0.11786000000000001,8.2739999999999994E-2,,0.56774000000000002,0.30568000000000001,0.31996000000000002,0.03,0.36032999999999998,0.33217999999999998,0.27740999999999999,0.32400000000000001
07/12/23 06:00,0.122,0.64737,8.1000000000000003E-2,8.158E-2,0.18217,0.3,,0.4,0.2,0.8,0.3,0.31,0.71,0.34,,0.24,0.33500000000000002,6.6869999999999999E-2,5.2569999999999999E-2,0.34065000000000001,6.454E-2,0.45816000000000001,6.8400000000000002E-2,0.66,9.0950000000000003E-2,0.35349999999999998,0.34528999999999999,0.24703,,,0.39,0.3,0.4,1.2,1.36757,0.35298000000000002,0.42975000000000002,0.10455,0.2,4.8599999999999997E-2,6.4799999999999996E-2,0.23549999999999999,0.62756999999999996,0.20591999999999999,0.38357999999999998,0.7,0.2,0.3,0.33966000000000002,0.10518,0.14832000000000001,9.6670000000000006E-2,0.1323,0.21364,0.28726000000000002,0.13582,7.5889999999999999E-2,,0.55384999999999995,0.46084999999999998,0.36910999999999999,0.03,0.33400000000000002,0.28853000000000001,0.24493999999999999,0.27342
07/12/23 07:00,0.13152,0.81162000000000001,6.4799999999999996E-2,0.78534999999999999,0.1464,0.4,,0.5,0.1,0.8,0.3,0.33,0.2,0.27,,0.42,0.14299999999999999,7.2900000000000006E-2,0.11681999999999999,0.35765999999999998,4.9059999999999999E-2,0.62163999999999997,0.13608000000000001,0.94199999999999995,0.12594,0.30993999999999999,0.35599999999999998,0.28788999999999998,0.2,,0.53,0.3,0.3,1,1.29352,0.14832000000000001,0.34244999999999998,0.12259,0.2,,0.14580000000000001,0.22844999999999999,0.58284000000000002,0.18260000000000001,0.35378999999999999,0.7,0.3,0.4,0.30348000000000003,0.14305999999999999,0.23669999999999999,0.10295,0.17280000000000001,0.11044,0.36603000000000002,0.18595999999999999,4.4880000000000003E-2,,0.46772999999999998,0.28310000000000002,0.33534999999999998,0.03,0.34678999999999999,0.25474999999999998,0.34057999999999999,0.40500000000000003
07/12/23 08:00,0.19016,0.93069000000000002,6.4799999999999996E-2,8.3430000000000004E-2,0.16125999999999999,0.5,0.2,0.5,0.2,0.9,,0.33,0.27,0.31,,0.54,7.3999999999999996E-2,9.5130000000000006E-2,6.019E-2,0.32912999999999998,5.0599999999999999E-2,0.89390000000000003,0.24682000000000001,0.75,0.32828000000000002,0.32668000000000003,0.35841000000000001,0.45134999999999997,0.4,,0.5,0.4,0.5,1,2.1155900000000001,0.14706,0.34515000000000001,0.17842,0.3,0.29261999999999999,6.4799999999999996E-2,0.32534999999999997,0.53847,0.19767000000000001,0.33759,0.7,0.4,0.6,0.39689999999999998,0.38529000000000002,0.26297999999999999,0.37325999999999998,0.18629999999999999,0.16475999999999999,0.436,0.40843000000000002,4.2939999999999999E-2,,0.42846000000000001,0.30785000000000001,0.36075000000000002,3.0859999999999999E-2,0.38774999999999998,0.18515999999999999,0.34816999999999998,0.32795999999999997
07/12/23 09:00,0.51229000000000002,1.1669400000000001,0.12069000000000001,0.14096,0.23948,1.4,0.7,0.7,0.3,1,,0.33,0.11,0.43,,0.33,8.5000000000000006E-2,0.1053,7.9170000000000004E-2,0.42885000000000001,5.6529999999999997E-2,0.91454999999999997,,0.64500000000000002,0.67329000000000006,0.45735999999999999,0.41364000000000001,0.75195999999999996,0.2,,0.46,0.4,0.5,1.2,3.8404500000000001,0.22464000000000001,0.22545000000000001,1.4208000000000001,0.2,0.24299999999999999,0.108,0.38201000000000002,0.57582,0.25641000000000003,0.34281,0.8,0.4,0.7,0.59885999999999995,0.58069999999999999,0.23111999999999999,0.97113000000000005,0.2079,0.34539999999999998,0.49462,0.62619999999999998,9.8720000000000002E-2,,0.58706000000000003,0.24349000000000001,0.52205000000000001,0.04,0.44888,0.28216000000000002,0.44085999999999997,0.38682
07/12/23 10:00,0.47815000000000002,2.03931,4.9410000000000003E-2,0.16019,0.31785999999999998,0.9,1,0.8,0.6,1.2,0.3,0.32,0.11,0.53,,0.38,0.20100000000000001,0.16614000000000001,0.10856,0.59426999999999996,7.17E-2,0.92108000000000001,0.42595,0.623,0.90276000000000001,0.55959999999999999,0.43673000000000001,0.32517000000000001,0.2,,0.61,0.4,0.3,1.2,5.0329300000000003,0.24642,0.40094999999999997,1.24762,0.2,0.32201999999999997,0.09,0.43733,0.63990000000000002,0.21779999999999999,0.38591999999999999,0.7,0.4,0.5,0.59399999999999997,0.65725,0.42984,1.39205,0.32400000000000001,0.43772,1.1551,0.40022000000000002,8.5540000000000005E-2,,0.38346000000000002,0.34715000000000001,0.75375999999999999,5.4219999999999997E-2,0.51571,0.28969,0.38712000000000002,0.38780999999999999
07/12/23 11:00,0.43448999999999999,3.0216599999999998,6.4799999999999996E-2,0.23919000000000001,0.34754000000000002,0.9,0.7,0.4,0.5,1,0.3,0.3,0.17,0.53,,0.55000000000000004,0.186,0.32589000000000001,8.4599999999999995E-2,0.44936999999999999,6.9099999999999995E-2,1.0501499999999999,0.56562999999999997,0.20100000000000001,0.74326000000000003,0.68811999999999995,0.60202,0.51254999999999995,0.3,,0.57999999999999996,0.4,0.3,1,1.3369800000000001,0.19656000000000001,0.34875,0.70216999999999996,0.3,0.41724,4.0500000000000001E-2,0.33200000000000002,0.82691999999999999,0.20377000000000001,0.57516,0.8,0.2,0.1,0.30402000000000001,0.36890000000000001,0.45738000000000001,1.0564800000000001,0.34289999999999998,0.44503999999999999,0.72997999999999996,0.22131000000000001,4.0629999999999999E-2,,1.16909,0.34097,0.64534000000000002,6.8360000000000004E-2,0.67066999999999999,0.28412999999999999,0.48947000000000002,0.42120000000000002
07/13/23 12:00,0.48380000000000001,2.03877,0.98738999999999999,0.30546000000000001,0.54493999999999998,0.6,0.5,0.4,0.3,0.8,0.3,0.24,0.62,0.53,,0.59,0.22900000000000001,0.19250999999999999,4.8890000000000003E-2,0.34190999999999999,6.4479999999999996E-2,0.69347000000000003,0.23616000000000001,0.25700000000000001,0.55791999999999997,0.46276,0.63539999999999996,0.50849,0.3,,0.5,0.4,0.1,0.6,1.12558,0.18629999999999999,0.34065000000000001,0.65859999999999996,0.3,0.36945,0.18629999999999999,0.23558000000000001,0.78605999999999998,0.23627999999999999,0.52154999999999996,0.9,0.2,0.2,0.17874000000000001,0.28036,0.33461999999999997,0.84084000000000003,0.3276,0.19217000000000001,0.37025999999999998,0.16753000000000001,7.0389999999999994E-2,,0.71277999999999997,0.24457000000000001,0.60189999999999999,7.0000000000000007E-2,0.80513000000000001,0.31337999999999999,0.68537000000000003,0.41409000000000001
07/13/23 01:00,0.41949999999999998,1.6440300000000001,1.02627,0.30264000000000002,0.20241000000000001,0.5,0.5,0.4,0.3,0.7,0.3,0.23,0.71,0.45,,0.5,0.23400000000000001,0.10944,3.6290000000000003E-2,0.36747000000000002,6.837E-2,0.53576999999999997,0.13261999999999999,0.79700000000000004,0.50112000000000001,0.41524,0.60194999999999999,0.32263999999999998,0.3,,0.43,0.3,0.3,0.6,0.80139000000000005,0.11214,0.30780000000000002,0.15923999999999999,0.2,0.29160000000000003,7.7399999999999997E-2,0.24365000000000001,0.81386999999999998,0.20696999999999999,0.49958999999999998,0.8,0.2,0.3,0.18792,0.10235,0.38250000000000001,1.04375,0.21870000000000001,0.31313000000000002,0.31252999999999997,7.9399999999999998E-2,0.13178000000000001,,0.59213000000000005,0.20251,0.58240000000000003,6.3280000000000003E-2,0.89812999999999998,0.35138000000000003,0.55322000000000005,0.37259999999999999
07/13/23 02:00,0.38072,1.57707,2.46645,0.27632000000000001,0.18110999999999999,0.6,0.5,0.5,0.3,0.7,0.3,0.19,0.5,0.4,,0.43,0.127,9.7199999999999995E-2,3.6589999999999998E-2,0.42120000000000002,6.787E-2,0.53510000000000002,7.4160000000000004E-2,1.091,0.43329000000000001,0.36771999999999999,0.60972000000000004,0.40772999999999998,0.4,,0.38,0.4,0.3,1,0.65705000000000002,0.14316000000000001,0.30420000000000003,0.17382,0.1,0.30879000000000001,0.1386,0.21904000000000001,0.76139999999999997,0.18981000000000001,0.4536,0.8,0.2,0.2,0.32112000000000002,8.6569999999999994E-2,0.50653999999999999,0.51932,0.1512,0.28844999999999998,0.32667000000000002,8.7099999999999997E-2,0.14901,,0.48257,0.22331000000000001,0.54613,5.9139999999999998E-2,0.97282999999999997,0.39632000000000001,0.38605,0.41210999999999998
07/13/23 03:00,0.35407,1.4319,3.1876600000000002,0.24753,0.20865,0.5,0.5,0.6,0.3,0.8,0.4,0.19,0.57999999999999996,0.41,,0.37,0.28199999999999997,9.7199999999999995E-2,4.9829999999999999E-2,0.44973000000000002,5.4219999999999997E-2,0.35486000000000001,5.8319999999999997E-2,0.72699999999999998,0.35185,0.46329999999999999,0.53056999999999999,0.38056000000000001,0.3,,0.33,0.4,0.4,0.4,0.78978000000000004,,0.35010000000000002,1.3792800000000001,0.1,0.35343000000000002,0.10440000000000001,0.20280999999999999,0.72441,0.1646,0.42669000000000001,0.9,0.4,0.2,0.29592000000000002,0.16972999999999999,0.40116000000000002,0.26956000000000002,0.19439999999999999,0.20502999999999999,0.44944000000000001,0.11955,0.28103,,0.37580999999999998,0.22523000000000001,0.51443000000000005,5.5E-2,1.00004,0.41585,0.42514999999999997,0.42831000000000002
07/13/23 04:00,0.30667,1.3517999999999999,,0.27474999999999999,0.18181,0.6,0.5,0.6,0.2,0.7,0.4,0.19,0.71,0.41,,0.39,0.38800000000000001,0.10323,6.1519999999999998E-2,0.48519000000000001,5.5550000000000002E-2,0.36491000000000001,0,1.1240000000000001,0.32645999999999997,0.32973999999999998,0.48612,0.32647999999999999,0.5,,0.36,0.4,0.4,0.4,1.2783500000000001,9.8339999999999997E-2,0.35639999999999999,1.53464,0.1,0.24795,0.25919999999999999,0.26001999999999997,0.6804,0.17907000000000001,0.39950999999999998,1,0.2,0.4,0.2268,0.10241,0.27666000000000002,0.40289000000000003,0.11609999999999999,0.33579999999999999,0.44994000000000001,0.12313,0.4657,,0.42281000000000002,0.25770999999999999,0.45243,5.2580000000000002E-2,0.98375000000000001,0.40759000000000001,0.30371999999999999,0.38168999999999997
07/13/23 05:00,0.22509000000000001,1.1062799999999999,2.4453900000000002,0.30336000000000002,0.18593999999999999,0.7,0.6,0.6,0.2,0.7,0.3,0.19,0.75,0.42,,0.34,0.127,0.13563,5.1700000000000003E-2,0.36279,5.3760000000000002E-2,0.35191,3.2399999999999998E-2,0.74,0.21182000000000001,0.53835999999999995,0.45772000000000002,0.31372,0.5,,0.5,0.4,0.4,0.6,1.17079,0.13086,0.35549999999999998,1.3570800000000001,0.2,0.27243000000000001,0.1215,0.22758999999999999,0.69272999999999996,0.1772,0.40500000000000003,1,0.4,0.5,0.21654000000000001,0.23100999999999999,0.22122,0.32107000000000002,0.16200000000000001,0.25673000000000001,0.37701000000000001,0.57669999999999999,0.34723999999999999,,0.55062,0.31080999999999998,0.35254000000000002,5.5780000000000003E-2,0.94479000000000002,0.44335000000000002,0.37342999999999998,0.30978
07/13/23 06:00,0.17416000000000001,0.88163999999999998,0.19197,0.33294000000000001,0.24840000000000001,1.1000000000000001,0.9,1,0.2,0.9,0.3,0.19,0.06,0.53,0.34,0.32,0.33500000000000002,0.12564,4.2250000000000003E-2,0.72170999999999996,7.0749999999999993E-2,0.43759999999999999,6.8540000000000004E-2,0.59399999999999997,0.21268999999999999,,0.43047000000000002,0.58687999999999996,0.5,,0.76,0.5,0.5,0.8,2.5438900000000002,0.2331,0.31095,2.9366300000000001,0.2,0.39294000000000001,0.1845,0.28452,0.77195999999999998,0.17232,0.4536,1,0.4,1,0.21276,0.32923000000000002,0.21185999999999999,0.3095,0.26729999999999998,0.20977999999999999,0.55001,0.62780000000000002,0.23993,,0.82255999999999996,0.43780000000000002,0.37365999999999999,5.8610000000000002E-2,0.95091999999999999,0.55747999999999998,0.84338000000000002,0.34731000000000001
07/13/23 07:00,0.55391999999999997,1.01844,0.17738999999999999,8.7790000000000007E-2,0.52893000000000001,0.8,1,0.7,0.3,0.9,0.3,0.19,0.19,0.54,0.34,0.56000000000000005,0.32900000000000001,0.1053,3.7510000000000002E-2,0.60326999999999997,8.6910000000000001E-2,0.43156,3.542E-2,0.27900000000000003,0.14122999999999999,0.50544999999999995,0.44775999999999999,0.51626000000000005,0.5,,0.95,0.6,0.7,0.8,6.3288799999999998,0.61577999999999999,0.50444999999999995,5.4229799999999999,0.2,0.42219000000000001,0.12690000000000001,0.34038000000000002,0.61101000000000005,0.1633,0.41859000000000002,1.1000000000000001,0.6,0.5,0.26297999999999999,0.33628000000000002,1.7063999999999999,0.35548999999999997,0.41039999999999999,0.30053999999999997,0.38333,0.63505999999999996,0.10824,,0.71904000000000001,0.33333000000000002,0.35826999999999998,8.8109999999999994E-2,1.0140800000000001,0.60048999999999997,0.64427000000000001,0.40104000000000001
07/13/23 08:00,0.21126,1.1349,0.13041,8.5019999999999998E-2,0.71299000000000001,0.6,0.7,0.3,0.3,1.1000000000000001,0.3,0.2,0.46,1.36,0.43,0.61,0.22800000000000001,0.10323,5.5350000000000003E-2,0.39393,8.6730000000000002E-2,0.57686999999999999,3.8589999999999999E-2,0.39600000000000002,0.85953000000000002,0.40714,0.45859,0.30031000000000002,0.4,,1.36,0.6,0.7,0.6,6.5084999999999997,0.84653999999999996,0.36675000000000002,3.4794100000000001,0.2,0.49329000000000001,0.32850000000000001,0.29958000000000001,0.55889999999999995,0.16377,0.39950999999999998,1.1000000000000001,0.4,0.7,0.30564000000000002,0.20377000000000001,0.73097999999999996,0.91715999999999998,0.62909999999999999,0.35757,0.31330000000000002,0.63288999999999995,6.4659999999999995E-2,,0.60145000000000004,0.40050999999999998,0.24539,5.6640000000000003E-2,0.96145999999999998,0.64466000000000001,0.28204000000000001,0.49310999999999999
07/13/23 09:00,0.25692999999999999,0.89900999999999998,0.11988,0.11135,0.15684999999999999,0.4,0.6,0.3,0.2,0.7,0.2,0.23,7.0000000000000007E-2,0.98,0.42,0.27,0.38800000000000001,0.12357,3.8980000000000001E-2,0.38879999999999998,7.1040000000000006E-2,0.57447999999999999,0.1008,0.64900000000000002,0.13413,0.37834000000000001,0.49991000000000002,0.32229999999999998,0.3,,1,0.6,0.6,0.4,1.4492700000000001,0.30221999999999999,0.42075000000000001,1.43499,0.1,0.30645,0.21870000000000001,0.21126,0.55467,0.16608999999999999,0.39717000000000002,0.9,0.4,0.4,0.38231999999999999,0.28306999999999999,0.43109999999999998,1.4730300000000001,0.52110000000000001,0.35182000000000002,0.31519000000000003,0.70199999999999996,5.8409999999999997E-2,,0.42072999999999999,0.24234,0.14788000000000001,0.04,0.86433000000000004,0.69947999999999999,0.24679000000000001,0.47078999999999999
07/13/23 10:00,0.14979999999999999,0.89307000000000003,0.10449,0.15382999999999999,0.1482,0.3,0.5,0.3,0.1,0.8,0.2,0.23,0.12,0.36,0.23,0.46,0.33500000000000002,9.9269999999999997E-2,4.1419999999999998E-2,0.31463999999999998,6.5699999999999995E-2,0.56467000000000001,0.10728,0.188,8.9829999999999993E-2,0.61629999999999996,0.43254999999999999,0.37647000000000003,0.2,0.2,0.78,0.6,0.3,0.6,1.7657700000000001,0.29124,0.35820000000000002,0.21545,0.1,0.17604,,0.21062,0.53037000000000001,0.1532,0.35639999999999999,0.7,0.8,0.2,0.38069999999999998,0.29476999999999998,0.3609,1.9260999999999999,0.28620000000000001,0.40960000000000002,0.21129000000000001,0.34093000000000001,3.5959999999999999E-2,,0.32782,0.19589999999999999,0.12249,0.05,0.78258000000000005,0.61429,0.25170999999999999,0.47652
